text_EN,text,modified,notes
,バーソロミュー,バルトロムニェイ,
,ギュールズ,チェルヴェニャーク,
,ハンティングソード,テサーク,
,馬衣,カパリソン,
,マスターストライク,マイスターハウ,
,公方伯,方伯,
,フォコス,フォコシュ,
,プレゲシュ,プレゲーシュ,
farfule,ファルフュール,ファルフレ,
,グロッシェン,グロシュ,
,プラハ・グロッシェン,プラシュスキー゠グロシュ,
,パトリキアン,パトリツィイ,
,ダチツキー・ラガー,ダチツキー゠ラガー,
,ミンスミストル,ミンツミストル,
,ハングマンズ・ハルター,処刑人の縄
,ブラックホース,黒馬,
,タウンハウス,都市の集会場,
,メイポール,マーイカ,
,アーノシュテク,アルノシュテク,
,マギステル・ディミカトル,マギステル゠ディーミカートル,
,フォン・コエダメ,フォン゠コエダメ卿,
,バビロンの淫婦,大淫婦バビロン,
,ヴラティスラーヴァ,ヴラティスラヴァ,
,プラハの旧市街,プラハのスタレー゠ムニェスト,
,ペール・フォン・バケツ卿,騎士、バケツ゠フォン゠ミズオケ卿,
,ダンガー,フノイェナ,
,スノードロップ,ブズディナ,
,ヴィクセン,リサー,
,町人,市民,
,町民,住民,
,鉱員,鉱夫,
,粉屋,粉挽き,
,狩猟番長,猟場番,
,狩場番,猟場番,
,狩猟番,猟場番,
,牧童,羊飼い,
,解体人,死体清掃屋,
,八百屋,青果屋,
,スニッファー,チムハル,
,"“乳児の辺獄”","リムブス゠インフラームス (辺獄)",
,クッテンバーク・ベーコン,クッテンベルク製のスラニナ,
,ケシの実パイ,ポピーシードのコラーチ,
,バトルアックス,戦斧,
,鈎斧,髭斧,
,チェインメイルシャツ,鎖シャツ,
,チェインメイル,鎖鎧,
,ケトルハット,アイゼンフット,
,スカルキャップ,ヒルンハウベ,
,ダヴィドの子孫,ダヴィド王の子らの末裔,
,ダヴィドの 子孫,ダヴィド王の子らの末裔,
,ディヴォゼンカ,ディヴォジェンカ,
,「卿」という称号は,「パーン」という称号は,
,ファルシオン,テサーク,
,ポールアックス,戦斧,
,チークピーシーズ,頬当て,
,ペンキ,染料,
,救世主のシュナップス,救世酒のシュナップス,
,フィオレ流ハーフソーディング,フィオーレ流ハルプシュヴェーアト,
,アンダーカット,ウンターハウ,
,怒りの斬撃,ツォルンハウ,
,クルザウ,クルツハウ,
,ランスルー,ドゥルヒラウフェン,
,ミッタルハウ,ミッテルハウ,
,Mittelhaw,ミッテルハウ,
,水平斬り,ミッテルハウ,
,高水平斬り,ウーバーミッテルハウ,
,上水平斬り,ウーバーミッテルハウ,
,中上斬り,ウーバーミッテルハウ,
,中斬り,ミッテルハウ,
,右下段攻撃,ウンターハウ゠レヒト,
,左下段攻撃,ウンターハウ゠リンクス,
Rossen,ロッセン,ローゼン,
Oben Abnehmen,上削ぎ,オーベンアプネーメン,
,ニークラッシャー,膝砕き,
False edge,裏刃,クルゼシュナイデ,
Pommel strike,柄の一撃,モルトシュラーク,
Strong edge,強靭な刃,シュタルケシュナイデ,
,ショートソード,片手剣,
,将軍の通行証,ヴォイダの通行証,
,ロングソード・マイスター,剣術師範,
,ウィルオウィスプ,ブルディチカ,
,グレープショット,ぶどう弾,
,ジェームズ、ダニエル、ヨハネ,ヤクプ・ダニエル・ヤン,
,ハネキンウサギ,ヴァルデクのヤン゠ザイーツ、ザイーツは野ウサギのこと,
Black pudding,ブラックプディング,イトルニツェ,Jitrnice
,イウス・レガーレ・モンタノールム,イウス゠レガーレ゠モンタノールム,
,アルス・ディミカトリア,アルス゠ディーミカートリア,
,ベラトーレス,ベッラートーレース,
,ラボラトーレス,ラボラートーレース,
,オラトーレス,オーラートーレース,
,Kurfuersten,"選帝侯 (Kurfürst)",
,アッサラーム・アリクム,アッサラーム、アリクム,
Sigismundus rex Hunganorum,シギスムンドゥス・レクス・フンガノールム,シギスムンドゥス゠レクス゠フンガーノールム
,lhůta,"ルフータ (lhůta)",
,スカルスケ邸宅,スカルスキー領,
,スルタン・バヤズィト,スルタン゠バヤズィト,
,スルタン・ムハンマド,スルタン゠メフメト,
,スルタン・ムラト,スルタン゠ムラト,
,ポリージュ,カシェ,
,ポリッジ,カシェ,
,"Auf Wiedersehen!",アウフ、ヴィーダーセン!,
,Wiedersehen!,ヴィーダーセン!,
,墓掘りのシャベルにやられそうになった,墓掘りのお世話になるところだった,
,ケシ1つかみ,ヒナゲシ1つかみ,
,ケシ3つかみ,ヒナゲシ3つかみ,
,ケシの実ケーキ,ポピーシードのコラーチ,
,ケシの実,ポピーシード,
,クワルクチーズ,トヴァロフ,
,町議会議員,参事会員,
,町議会,参事会,
,町営浴場,市営浴場,
,溶接鋼,鍛錬鋼,
,Sakra!,クソっ!,
,Sakra! ,クソっ!,
,財宝ハンター,宝探し,
,ミス・クヴィエタ,クヴィエタ夫人,
,ジョニー,ヤン,
,メイデン塔,『乙女塔』,
,聖ゴール,聖ハヴェル,
,カルリーンの帽子,カルリークの帽子,
,チュニック,トゥニカ,
,守護聖人ペトロ,守護聖人ペトル,
,鍛冶屋ギルド,鍛冶ギルド,
,レイヴン,カフカ,
,スタンダ,スタニスラフ,
,フェット,マースロ,
Prachatitz,プラハティッツ,プラハティツェ,
,ザハリアシュス,ザハリアーシュ,
,ザカリアス,ザハリアーシュ,
,オスワルド・トールワート,オズヴァルト゠トールヴァルト,
,アルビッヒ,アルビーク,
První z tisíce,ファーストオブアサウザンド,〈千頭最速〉,
,ファーストオブアハンドレッド,〈百頭最速〉,
,カードパイ,トヴァロフのコラーチ,
,イヴ,エヴァ,
,ホランダー,ホランデル,
,セントジョージ,聖イジー,
,ジョージ修道士,イジー修道士,
,ジョージ卿,イジー卿,
,ジョージ,ダヴィト,
,ヤン・シンデル,ヤン゠シンデル,
,クラウス・アイヒナー,クラウス゠アイヒナー,
,クレマー,クレンメル,
,エルウィン・クレマー,エルヴィン゠クレンメル,
,ステパネク修道士,シュテパーネク修道士,
,ヴォークラン・&lt;br/&gt;ブラバント,ヴォークリエン゠ブラバント,
,レディ・クリスティナ,クリスティーナ夫人,
,ヴィン・サント,ヴィン゠サント,
,ジャキム・バボルスキ教授,ヤーヒム゠バヴォルスキ教授,
,ウージッツ,ウージツェ,
,ベニス,ヴェネツィア,
,ワインスキン, 『革の酒袋』,
,ミクラシ様,ミクラーシュ様,
,領主のミクラシュの,領主のミクラーシュの,
,バルディック,バルディーク,
,kruva!,クソ!,
,地方裁判所の議長,王国法廷長官
,王室議員,王国議会評議員,
,プラハの城伯,プラハ城伯,
,王室侍従,王国首席侍従長,
,クローネ塔,『老婆塔』,
,クローヌ塔,『老婆塔』,
,地下宮殿,屋敷,
,カール皇帝,カレル帝,
,ドラホニッツ,ドラホニツェ,
,ニフヴァルト・リバク,ニクヴァルト゠リバーク,
,ニフヴァルト,ニクヴァルト,
,ウェンゼル,ヴェンツェル,
,アルバート,アルベルト,
,拳銃,ハーコヴニツェ,
,小姓,従者,
,ブルクハルト・ブルーティッヒ,ブルクハルト゠ブルーティク,
,ブルクハルド,ブルクハルト,
,霊的指導者,聖職者,
,ロズンジ,ロズンジー,
,ベーカーズ通り,『パン屋』の通り,
,ヴォイテクス・エクス・アリディス,ウォイテクス゠エクス゠アリディス,
,サワー種,サワードウ,
,ディートリヒ・フォン・フライバーク,フライベルクのディートリヒ,
,マグヌム・オプス,オプス゠マグヌム,
,トムリン・ブルタンス,トムリン゠ブルタンス,
,パスカル,プシェメク,
,ベッチワー,ベチヴァール,
,スターニク,スタニーク,
,マティアス,マチェイ,
,リチャード,リシェク,
,モーティシウス,モルティキウス,
,ポンテオ・ピラト,ポンティウス゠ピラトゥス,
,ニンニクのスープ,チェスネチカ,
,“隠れ家”,『隠れ家』,
,シュディア,ジダール,
,ファイト・クラブ,拳闘クラブ,
,ポージー,バルシャーン,
,エンゲルスバーク,セフラディツェ,
,タグボーン,サームフナート,
,オレシュニッツ,オレシュナ,
,ティムール,タメルラーン,
,ラブシュタイン,ラプシュテイン,
,伯爵連中,"『貴族連合』",
,剣術同盟,剣士ギルド,
,フランクフルト同盟,フランクフルトのギルド,
,クッテンバーク同盟,クッテンベルクのギルド,
,町議員,参事会員,
,剣豪,剣術師範,
,ゲルドシュティック,ゲルドシュトック,
,ジョンティ,イェンダ,
,ブランデー,パーレンカ,
,役場,市庁舎,
,ギルドソード,ギルドの剣,
,キングフィッシャー,〈カワセミのそばで〉,
,スタッフ,長棒,
,竿旗,団章旗,
,ヒルシュバーク,ヒルシュベルク,
,ファヌシュ,ファノウシュ,
,ドラット,ドラート,
,町一番の,街一番の,
,ブドウ畑,ブドウ園,
,イェゼク,イェジェク,
,オトマー,オトマル,
,キングフィッシャー浴場,"浴場〈カワセミのそばで〉",
,ヴラク,ヴラヒ,
,旗竿,団章旗,
,セントアントニーの旗竿,聖アントニーンの団章旗,
,エルゼ,エルセ,
,町,街,
,トゥフマッハー,フィフレ,
,トールワート,トールヴァルト,
,ターマルク,タルマルク,
,ターマレク,タルマルク,
,ベアトリーチェ,ベアータ,
,フラーデク地区,フラーデツキー地区,
,フラデク通り,フラーデツキー通り,
,ヨハン・クルファンツル,ヨハン゠クルンプファンツル,
